11/06/18 14:13:07.692 BROM_DLL[2968][8280]: Brom_DebugOn(): runtime trace is ON now. (brom_debug.cpp:150)
11/06/18 14:13:07.692 BROM_DLL[2968][8280]: ================================================================================================================================== (brom.cpp:1002)
11/06/18 14:13:07.692 BROM_DLL[2968][8280]: Brom_GetDLLInfo(): BROM_DLL_v3.949.10.05 [Patch-Build](Release Version)                                                                       (brom.cpp:1003)
11/06/18 14:13:07.692 BROM_DLL[2968][8280]: Brom_GetDLLInfo(): Build-Date: 2013/04/16 09:42:38                                                                                  (brom.cpp:1004)
11/06/18 14:13:07.692 BROM_DLL[2968][8280]: Brom_GetDLLInfo(): LoadPath=C:\Users\HRMO\Downloads\Compressed\SP_Flash_Tool_exe_v3.1316.0.150\SP_Flash_Tool_v3.1316.0.150\brom.dll (brom.cpp:1005)
11/06/18 14:13:07.692 BROM_DLL[2968][8280]: ================================================================================================================================== (brom.cpp:1006)
11/06/18 14:13:07.692 BROM_DLL[2968][8280]: FlashDeviceNameMap::DumpDebug():   (flash_device_tbl.cpp:755)
11/06/18 14:13:07.692 BROM_DLL[2968][8280]: FlashDeviceNameMap::DumpDebug():   (flash_device_tbl.cpp:755)
11/06/18 14:13:07.692 BROM_DLL[2968][8280]: ResourcePrefixMap::DumpDebug():   (mtk_resource_internal.cpp:186)
11/06/18 14:13:07.692 BROM_DLL[2968][8280]: 	m_JumpTablePrefix("JUMP_TABLE")              (mtk_resource_internal.cpp:188)
11/06/18 14:13:07.692 BROM_DLL[2968][8280]: ================= STATUS_E CODE BEGIN =================== (brom.cpp:696)
11/06/18 14:13:07.692 BROM_DLL[2968][8280]: (   0) S_DONE                                             (brom.cpp:697)
11/06/18 14:13:07.692 BROM_DLL[2968][8280]: (1000) S_STOP                                             (brom.cpp:699)
11/06/18 14:13:07.692 BROM_DLL[2968][8280]: (1001) S_UNDEFINED_ERROR                                  (brom.cpp:699)
11/06/18 14:13:07.692 BROM_DLL[2968][8280]: (1002) S_INVALID_ARGUMENTS                                (brom.cpp:699)
11/06/18 14:13:07.692 BROM_DLL[2968][8280]: (1003) S_INVALID_BBCHIP_TYPE                              (brom.cpp:699)
11/06/18 14:13:07.692 BROM_DLL[2968][8280]: (1004) S_INVALID_EXT_CLOCK                                (brom.cpp:699)
11/06/18 14:13:07.692 BROM_DLL[2968][8280]: (1005) S_GET_DLL_VER_FAIL                                 (brom.cpp:699)
11/06/18 14:13:07.692 BROM_DLL[2968][8280]: (1006) S_INVALID_BUF                                      (brom.cpp:699)
11/06/18 14:13:07.692 BROM_DLL[2968][8280]: (1007) S_BUF_IS_NULL                                      (brom.cpp:699)
11/06/18 14:13:07.692 BROM_DLL[2968][8280]: (1008) S_BUF_LEN_IS_ZERO                                  (brom.cpp:699)
11/06/18 14:13:07.692 BROM_DLL[2968][8280]: (1009) S_BUF_SIZE_TOO_SMALL                               (brom.cpp:699)
11/06/18 14:13:07.692 BROM_DLL[2968][8280]: (1010) S_NOT_ENOUGH_MEMORY                                (brom.cpp:699)
11/06/18 14:13:07.692 BROM_DLL[2968][8280]: (1011) S_COM_PORT_OPEN_FAIL                               (brom.cpp:699)
11/06/18 14:13:07.692 BROM_DLL[2968][8280]: (1012) S_COM_PORT_SET_TIMEOUT_FAIL                        (brom.cpp:699)
11/06/18 14:13:07.692 BROM_DLL[2968][8280]: (1013) S_COM_PORT_SET_STATE_FAIL                          (brom.cpp:699)
11/06/18 14:13:07.692 BROM_DLL[2968][8280]: (1014) S_COM_PORT_PURGE_FAIL                              (brom.cpp:699)
11/06/18 14:13:07.692 BROM_DLL[2968][8280]: (1015) S_FILEPATH_NOT_SPECIFIED_YET                       (brom.cpp:699)
11/06/18 14:13:07.692 BROM_DLL[2968][8280]: (1016) S_UNKNOWN_TARGET_BBCHIP                            (brom.cpp:699)
11/06/18 14:13:07.692 BROM_DLL[2968][8280]: (1017) S_SKIP_BBCHIP_HW_VER_CHECK                         (brom.cpp:699)
11/06/18 14:13:07.692 BROM_DLL[2968][8280]: (1018) S_UNSUPPORTED_VER_OF_BOOT_ROM                      (brom.cpp:699)
11/06/18 14:13:07.692 BROM_DLL[2968][8280]: (1019) S_UNSUPPORTED_VER_OF_BOOTLOADER                    (brom.cpp:699)
11/06/18 14:13:07.692 BROM_DLL[2968][8280]: (1020) S_UNSUPPORTED_VER_OF_DA                            (brom.cpp:699)
11/06/18 14:13:07.692 BROM_DLL[2968][8280]: (1021) S_UNSUPPORTED_VER_OF_SEC_INFO                      (brom.cpp:699)
11/06/18 14:13:07.692 BROM_DLL[2968][8280]: (1022) S_UNSUPPORTED_VER_OF_ROM_INFO                      (brom.cpp:699)
11/06/18 14:13:07.692 BROM_DLL[2968][8280]: (1023) S_SEC_INFO_NOT_FOUND                               (brom.cpp:699)
11/06/18 14:13:07.692 BROM_DLL[2968][8280]: (1024) S_ROM_INFO_NOT_FOUND                               (brom.cpp:699)
11/06/18 14:13:07.692 BROM_DLL[2968][8280]: (1025) S_CUST_PARA_NOT_SUPPORTED                          (brom.cpp:699)
11/06/18 14:13:07.692 BROM_DLL[2968][8280]: (1026) S_CUST_PARA_WRITE_LEN_INCONSISTENT                 (brom.cpp:699)
11/06/18 14:13:07.692 BROM_DLL[2968][8280]: (1027) S_SEC_RO_NOT_SUPPORTED                             (brom.cpp:699)
11/06/18 14:13:07.692 BROM_DLL[2968][8280]: (1028) S_SEC_RO_WRITE_LEN_INCONSISTENT                    (brom.cpp:699)
11/06/18 14:13:07.692 BROM_DLL[2968][8280]: (1029) S_ADDR_N_LEN_NOT_32BITS_ALIGNMENT                  (brom.cpp:699)
11/06/18 14:13:07.692 BROM_DLL[2968][8280]: (1030) S_UART_CHKSUM_ERROR                                (brom.cpp:699)
11/06/18 14:13:07.692 BROM_DLL[2968][8280]: (1031) S_NOR_FLASH_BOOT                                   (brom.cpp:699)
11/06/18 14:13:07.692 BROM_DLL[2968][8280]: (1032) S_NAND_FLASH_BOOT                                  (brom.cpp:699)
11/06/18 14:13:07.692 BROM_DLL[2968][8280]: (1033) S_UNSUPPORTED_VER_OF_EMI_INFO                      (brom.cpp:699)
11/06/18 14:13:07.692 BROM_DLL[2968][8280]: (2000) S_BROM_SET_META_REG_FAIL                           (brom.cpp:702)
11/06/18 14:13:07.692 BROM_DLL[2968][8280]: (2001) S_BROM_SET_FLASHTOOL_REG_FAIL                      (brom.cpp:702)
11/06/18 14:13:07.692 BROM_DLL[2968][8280]: (2002) S_BROM_SET_REMAP_REG_FAIL                          (brom.cpp:702)
11/06/18 14:13:07.692 BROM_DLL[2968][8280]: (2003) S_BROM_SET_EMI_FAIL                                (brom.cpp:702)
11/06/18 14:13:07.692 BROM_DLL[2968][8280]: (2004) S_BROM_DOWNLOAD_DA_FAIL                            (brom.cpp:702)
11/06/18 14:13:07.692 BROM_DLL[2968][8280]: (2005) S_BROM_CMD_STARTCMD_FAIL                           (brom.cpp:702)
11/06/18 14:13:07.692 BROM_DLL[2968][8280]: (2006) S_BROM_CMD_STARTCMD_TIMEOUT                        (brom.cpp:702)
11/06/18 14:13:07.692 BROM_DLL[2968][8280]: (2007) S_BROM_CMD_JUMP_FAIL                               (brom.cpp:702)
11/06/18 14:13:07.692 BROM_DLL[2968][8280]: (2008) S_BROM_CMD_WRITE16_MEM_FAIL                        (brom.cpp:702)
11/06/18 14:13:07.692 BROM_DLL[2968][8280]: (2009) S_BROM_CMD_READ16_MEM_FAIL                         (brom.cpp:702)
11/06/18 14:13:07.692 BROM_DLL[2968][8280]: (2010) S_BROM_CMD_WRITE16_REG_FAIL                        (brom.cpp:702)
11/06/18 14:13:07.692 BROM_DLL[2968][8280]: (2011) S_BROM_CMD_READ16_REG_FAIL                         (brom.cpp:702)
11/06/18 14:13:07.692 BROM_DLL[2968][8280]: (2012) S_BROM_CMD_CHKSUM16_MEM_FAIL                       (brom.cpp:702)
11/06/18 14:13:07.692 BROM_DLL[2968][8280]: (2013) S_BROM_CMD_WRITE32_MEM_FAIL                        (brom.cpp:702)
11/06/18 14:13:07.692 BROM_DLL[2968][8280]: (2014) S_BROM_CMD_READ32_MEM_FAIL                         (brom.cpp:702)
11/06/18 14:13:07.692 BROM_DLL[2968][8280]: (2015) S_BROM_CMD_WRITE32_REG_FAIL                        (brom.cpp:702)
11/06/18 14:13:07.692 BROM_DLL[2968][8280]: (2016) S_BROM_CMD_READ32_REG_FAIL                         (brom.cpp:702)
11/06/18 14:13:07.692 BROM_DLL[2968][8280]: (2017) S_BROM_CMD_CHKSUM32_MEM_FAIL                       (brom.cpp:702)
11/06/18 14:13:07.692 BROM_DLL[2968][8280]: (2018) S_BROM_JUMP_TO_META_MODE_FAIL                      (brom.cpp:702)
11/06/18 14:13:07.708 BROM_DLL[2968][8280]: (2019) S_BROM_WR16_RD16_MEM_RESULT_DIFF                   (brom.cpp:702)
11/06/18 14:13:07.708 BROM_DLL[2968][8280]: (2020) S_BROM_CHKSUM16_MEM_RESULT_DIFF                    (brom.cpp:702)
11/06/18 14:13:07.708 BROM_DLL[2968][8280]: (2021) S_BROM_BBCHIP_HW_VER_INCORRECT                     (brom.cpp:702)
11/06/18 14:13:07.708 BROM_DLL[2968][8280]: (2022) S_BROM_FAIL_TO_GET_BBCHIP_HW_VER                   (brom.cpp:702)
11/06/18 14:13:07.708 BROM_DLL[2968][8280]: (2023) S_BROM_AUTOBAUD_FAIL                               (brom.cpp:702)
11/06/18 14:13:07.708 BROM_DLL[2968][8280]: (2024) S_BROM_SPEEDUP_BAUDRATE_FAIL                       (brom.cpp:702)
11/06/18 14:13:07.708 BROM_DLL[2968][8280]: (2025) S_BROM_LOCK_POWERKEY_FAIL                          (brom.cpp:702)
11/06/18 14:13:07.708 BROM_DLL[2968][8280]: (2026) S_BROM_WM_APP_MSG_OUT_OF_RANGE                     (brom.cpp:702)
11/06/18 14:13:07.708 BROM_DLL[2968][8280]: (2027) S_BROM_NOT_SUPPORT_MT6205B                         (brom.cpp:702)
11/06/18 14:13:07.708 BROM_DLL[2968][8280]: (2028) S_BROM_EXCEED_MAX_DATA_BLOCKS                      (brom.cpp:702)
11/06/18 14:13:07.708 BROM_DLL[2968][8280]: (2029) S_BROM_EXTERNAL_SRAM_DETECTION_FAIL                (brom.cpp:702)
11/06/18 14:13:07.708 BROM_DLL[2968][8280]: (2030) S_BROM_EXTERNAL_DRAM_DETECTION_FAIL                (brom.cpp:702)
11/06/18 14:13:07.708 BROM_DLL[2968][8280]: (2031) S_BROM_GET_FW_VER_FAIL                             (brom.cpp:702)
11/06/18 14:13:07.708 BROM_DLL[2968][8280]: (2032) S_BROM_CONNECT_TO_BOOTLOADER_FAIL                  (brom.cpp:702)
11/06/18 14:13:07.708 BROM_DLL[2968][8280]: (2033) S_BROM_CMD_SEND_DA_FAIL                            (brom.cpp:702)
